Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Family People,3,1,"52.512528, 13.458210","52.456194, 13.299887",13:00 - 13:15,Mon,Home - Hobby,1,0,1,1
Family People,3,2,"52.456194, 13.299887","52.512528, 13.458210",17:00 - 17:15,Mon,Hobby - Home,0,0,0,1
Family People,3,3,"52.512528, 13.458210","52.515648, 13.468305",9:45 - 10:00,Tue,Home - Shopping,1,1,0,1
Family People,3,4,"52.515648, 13.468305","52.512528, 13.458210",10:30 - 10:45,Tue,Shopping - Home,0,1,1,1
Family People,3,5,"52.512528, 13.458210","52.531434, 13.339751",16:15 - 16:30,Tue,Home - Language Course,0,1,0,1
Family People,3,6,"52.531434, 13.339751","52.512528, 13.458210",19:30 - 19:45,Tue,Language Course - Home,1,1,0,0
Family People,3,7,"52.512528, 13.458210","52.488700, 13.401212",8:30 - 8:45,Wed,Home - Work,1,1,0,0
Family People,3,8,"52.488700, 13.401212","52.512528, 13.458210",18:45 - 19:00,Wed,Work - Home,0,1,0,1
Family People,3,9,"52.512528, 13.458210","52.488700, 13.401212",8:30 - 8:45,Thu,Home - Work,1,1,1,1
Family People,3,10,"52.488700, 13.401212","52.512528, 13.458210",18:45 - 19:00,Thu,Work - Home,1,0,1,1
Family People,3,11,"52.512528, 13.458210","52.488700, 13.401212",8:30 - 8:45,Fri,Home - Work,0,0,1,0
Family People,3,12,"52.488700, 13.401212","52.512528, 13.458210",18:30 - 18:45,Fri,Work - Home,1,0,0,1
Family People,3,13,"52.512528, 13.458210","52.488700, 13.401212",8:45 - 9:00,Sat,Home - Work,1,0,1,0
Family People,3,14,"52.488700, 13.401212","52.512528, 13.458210",18:30 - 18:45,Sat,Work - Home,0,1,1,0
Family People,3,15,"52.512528, 13.458210","52.513635, 13.462833",8:45 - 9:00,Sun,Home - Sport,0,1,1,0
Family People,3,16,"52.513635, 13.462833","52.512528, 13.458210",10:45 - 11:00,Sun,Sport - Home,1,1,1,1
