Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Student,2,1,"52.515137, 13.318497","52.512738, 13.326969",7:45 - 8:00,Mon,Home - Uni,1,0,0,0
Student,2,2,"52.512738, 13.326969","52.539304, 13.364162",12:15 - 12:30,Mon,Uni - Office,1,0,1,1
Student,2,3,"52.539304, 13.364162","52.515137, 13.318497",17:30 - 17:45,Mon,Office - Home,1,0,0,0
Student,2,4,"52.515137, 13.318497","52.512738, 13.326969",8:15 - 8:30,Tue,Home - Uni,0,1,1,0
Student,2,5,"52.512738, 13.326969","52.515137, 13.318497",17:00 - 17:15,Tue,Uni - Home,0,1,1,0
Student,2,6,"52.515137, 13.318497","52.512738, 13.326969",7:45 - 8:00,Wed,Home - Uni,1,1,0,0
Student,2,7,"52.512738, 13.326969","52.539304, 13.364162",12:15 - 12:30,Wed,Uni - Office,0,0,1,1
Student,2,8,"52.539304, 13.364162","52.515137, 13.318497",17:30 - 17:45,Wed,Office - Home,0,0,1,0
Student,2,9,"52.515137, 13.318497","52.512738, 13.326969",8:15 - 8:30,Thu,Home - Uni,0,1,0,1
Student,2,10,"52.512738, 13.326969","52.515137, 13.318497",17:00 - 17:15,Thu,Uni - Home,0,0,0,1
Student,2,11,"52.515137, 13.318497","52.512738, 13.326969",7:45 - 8:00,Fri,Home - Uni,1,1,1,0
Student,2,12,"52.512738, 13.326969","52.539304, 13.364162",12:15 - 12:30,Fri,Uni - Office,1,1,0,0
Student,2,13,"52.539304, 13.364162","52.515137, 13.318497",17:30 - 17:45,Fri,Office - Home,0,0,1,0
Student,2,14,"52.539304, 13.364162","52.507044, 13.313801",13:30 - 13:45,Sat,Home - Shopping,0,1,0,0
Student,2,15,"52.507044, 13.313801","52.539304, 13.364162",14:45 - 15:00,Sat,Shopping - Home,1,0,1,0
Student,2,16,"52.539304, 13.364162","52.517707, 13.340868",9:00 - 9:15,Sun,Home - Church,0,1,0,1
Student,2,17,"52.517707, 13.340868","52.539304, 13.364162",11:30 - 11:45,Sun,Church - Home,1,0,0,0
