Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Worker,1,1,"52.540169, 13.349587","52.444340, 13.273660",7:30 - 7:45,Mon,Home - Office,1,1,0,1
Worker,1,2,"52.444340, 13.273660","52.540169, 13.349587",17:15 - 17:30,Mon,Office - Home,0,0,1,0
Worker,1,3,"52.540169, 13.349587","52.444340, 13.273660",7:30 - 7:45,Tue,Home - Office,1,1,1,1
Worker,1,4,"52.444340, 13.273660","52.540169, 13.349587",17:15 - 17:30,Tue,Office - Home,1,1,0,0
Worker,1,5,"52.540169, 13.349587","52.444340, 13.273660",7:30 - 7:45,Wed,Home - Office,0,1,0,1
Worker,1,6,"52.444340, 13.273660","52.540169, 13.349587",17:15 - 17:30,Wed,Office - Home,0,1,0,1
Worker,1,7,"52.540169, 13.349587","52.444340, 13.273660",7:30 - 7:45,Thu,Home - Office,0,0,1,0
Worker,1,8,"52.444340, 13.273660","52.540169, 13.349587",17:15 - 17:30,Thu,Office - Home,1,0,0,1
Worker,1,9,"52.540169, 13.349587","52.444340, 13.273660",7:30 - 7:45,Fri,Home - Office,0,1,0,0
Worker,1,10,"52.444340, 13.273660","52.540169, 13.349587",17:15 - 17:30,Fri,Office - Home,0,1,0,0
Worker,1,11,"52.540169, 13.349587","52.541566, 13.355580",10:00 - 10:15,Sat,Home - Shopping,0,1,1,0
Worker,1,12,"52.541566, 13.355580","52.540169, 13.349587",11:15 - 11:30,Sat,Shopping - Home,1,0,1,1
Worker,1,13,"52.540169, 13.349587","52.513959, 13.395662",15:00 - 15:15,Sun,Home - Sport,1,0,1,1
Worker,1,14,"52.513959, 13.395662","52.540169, 13.349587",18:15 - 18:30,Sun,Sport - Home,0,1,0,1
