Group,User,Trip,Origin,Destination,Time Range,Day,Detail,Week 1,Week 2,Week 3,Week 4
Worker,2,1,"52.524505, 13.418466","52.506421, 13.441397",7:15 - 7:30,Mon,Home - Office,1,0,0,1
Worker,2,2,"52.506421, 13.441397","52.524505, 13.418466",17:45 - 18:00,Mon,Office - Home,0,0,0,1
Worker,2,3,"52.524505, 13.418466","52.506421, 13.441397",7:15 - 7:30,Tue,Home - Office,0,1,0,1
Worker,2,4,"52.506421, 13.441397","52.524505, 13.418466",17:00 - 17:15,Tue,Office - Home,0,0,1,0
Worker,2,5,"52.524505, 13.418466","52.506421, 13.441397",7:15 - 7:30,Wed,Home - Office,1,1,1,1
Worker,2,6,"52.506421, 13.441397","52.524505, 13.418466",17:00 - 17:15,Wed,Office - Home,1,1,1,0
Worker,2,7,"52.524505, 13.418466","52.506421, 13.441397",8:45 - 9:00,Thu,Home - Office,0,0,1,1
Worker,2,8,"52.506421, 13.441397","52.524505, 13.418466",16:30 - 16:45,Thu,Office - Home,0,1,0,0
Worker,2,9,"52.524505, 13.418466","52.506421, 13.441397",8:45 - 9:00,Fri,Home - Office,0,1,1,0
Worker,2,10,"52.506421, 13.441397","52.524505, 13.418466",16:00 - 16:15,Fri,Office - Home,1,1,1,0
Worker,2,11,"52.524505, 13.418466","52.522400, 13.411641",11:00 - 11:15,Sat,Home - Shopping,0,1,1,1
Worker,2,12,"52.522400, 13.411641","52.524505, 13.418466",15:30 - 15:45,Sat,Shopping - Home,1,0,0,1
Worker,2,13,"52.524505, 13.418466","52.517707, 13.340868",9:45 - 10:00,Sun,Home - Church,1,0,0,0
Worker,2,14,"52.517707, 13.340868","52.524505, 13.418466",12:00 - 12:15,Sun,Church - Home,1,1,0,1
